Title:,Trace 1
Model:,N9320B
Serial Number:,CN03230304
Center Frequency:,1420400000.000000,Hz
Span:,2000000.000000,Hz
Resolution Bandwidth:,30000.000000,Hz
Video Bandwidth:,30000.000000,Hz
Reference Level:,-95.000000,dBm
Sweep Time:,1.000000,s
Num Points:,461
Units,Hz,dBm
No.,Frequecncy(Hz),Amplitude(dBm)
360,1420960869.565217,-1.009922867e+02
361,1420965217.391304,-1.010327759e+02
362,1420969565.217391,-1.009805450e+02
363,1420973913.043478,-1.010274200e+02
364,1420978260.869565,-1.010060501e+02
365,1420982608.695652,-1.010000839e+02
366,1420986956.521739,-1.010809250e+02
367,1420991304.347826,-1.010164337e+02
368,1420995652.173913,-1.010369263e+02
369,1421000000.000000,-1.010570221e+02
370,1421004347.826087,-1.011144714e+02
371,1421008695.652174,-1.011462555e+02
372,1421013043.478261,-1.010380249e+02
373,1421017391.304348,-1.011051712e+02
374,1421021739.130435,-1.011203766e+02
375,1421026086.956522,-1.010029755e+02
376,1421030434.782609,-1.010837250e+02
377,1421034782.608696,-1.010427780e+02
378,1421039130.434783,-1.009356079e+02
379,1421043478.260870,-1.010732574e+02
380,1421047826.086957,-1.010424805e+02
381,1421052173.913043,-1.010532913e+02
382,1421056521.739130,-1.009744644e+02
383,1421060869.565217,-1.010291977e+02
384,1421065217.391304,-1.010544281e+02
385,1421069565.217391,-1.010730057e+02
386,1421073913.043478,-1.009805527e+02
387,1421078260.869565,-1.010606995e+02
388,1421082608.695652,-1.009629211e+02
389,1421086956.521739,-1.010565872e+02
390,1421091304.347826,-1.010026932e+02
391,1421095652.173913,-1.009871445e+02
392,1421100000.000000,-1.009362564e+02
393,1421104347.826087,-1.009400101e+02
394,1421108695.652174,-1.009969177e+02
395,1421113043.478261,-1.009087753e+02
396,1421117391.304348,-1.007880630e+02
397,1421121739.130435,-1.008418350e+02
398,1421126086.956522,-1.008959351e+02
399,1421130434.782609,-1.008484268e+02
400,1421134782.608696,-1.009015427e+02
401,1421139130.434783,-1.009070206e+02
402,1421143478.260870,-1.008904266e+02
403,1421147826.086957,-1.008833542e+02
404,1421152173.913043,-1.008686752e+02
405,1421156521.739130,-1.010060883e+02
406,1421160869.565217,-1.009404755e+02
407,1421165217.391304,-1.008687592e+02
408,1421169565.217391,-1.009552002e+02
409,1421173913.043478,-1.008436966e+02
410,1421178260.869565,-1.010143661e+02
411,1421182608.695652,-1.010657730e+02
412,1421186956.521739,-1.009676590e+02
413,1421191304.347826,-1.009709549e+02
414,1421195652.173913,-1.009797592e+02
415,1421200000.000000,-1.009263535e+02
416,1421204347.826087,-1.010414124e+02
417,1421208695.652174,-1.009420013e+02
418,1421213043.478261,-1.009152985e+02
419,1421217391.304348,-1.008921509e+02
